Id,SalePrice
1461,120117.21645225985
1462,163324.94982487994
1463,191363.1178549458
1464,190145.72372994776
1465,201318.17980421125
1466,167043.13026936422
1467,172958.2795190292
1468,158710.42300147266
1469,190893.46479558066
1470,124157.84622739916
1471,195738.6573128031
1472,95262.54808390673
1473,98413.54161733096
1474,143938.8514699071
1475,105067.14748493294
1476,346045.2595004964
1477,253085.07450832464
1478,299184.6999679316
1479,304733.50386128377
1480,460647.32659206376
1481,328077.61431145645
1482,212850.65703240316
1483,180823.8753034296
1484,160501.74710205445
1485,199804.3972084231
1486,197551.98745725898
1487,345264.6896713659
1488,233574.65267256857
1489,194805.4009152804
1490,250210.4158162735
1491,194392.82668939192
1492,98215.18474060419
1493,169700.1297211678
1494,302821.44806342176
1495,293366.2711939324
1496,238476.10254845564
1497,185644.36702829463
1498,176211.15569184266
1499,166071.54679656186
1500,157207.3100934602
1501,178058.26096481434
1502,147633.9200445816
1503,287542.1462097431
1504,235761.050875958
1505,232179.73928665812
1506,184639.77779239765
1507,244792.40553500282
1508,198447.90189456055
1509,149289.99482296585
1510,146994.8876464276
1511,162611.48888974867
1512,174268.532703814
1513,144025.4993734837
1514,151425.90572739817
1515,196375.17692765524
1516,150905.45605827437
1517,163475.9241555783
1518,130946.74123093509
1519,215014.3736533496
1520,128810.5124314228
1521,133016.36682026373
1522,178573.84829903557
1523,119018.43832224613
1524,125615.41776078925
1525,117001.40968267662
1526,113547.54364875238
1527,116262.62667540321
1528,128978.66685374166
1529,149525.4892031693
1530,176707.54575542273
1531,118201.99334560553
1532,100342.67585429925
1533,159475.11376666013
1534,117799.81353177899
1535,161994.3245905356
1536,106687.54677662469
1537,73069.21990371868
1538,138512.99571250836
1539,176897.47010906582
1540,87658.74171665119
1541,133173.20017834962
1542,146566.60140235088
1543,194992.10346140485
1544,91594.10302287055
1545,114973.40045600812
1546,130666.77148187955
1547,129853.0904711546
1548,136298.4460583604
1549,126278.60288790012
1550,140144.869828165
1551,104359.14436903616
1552,150460.31314672867
1553,144857.21287913894
1554,110179.30377861531
1555,171684.32574191858
1556,85690.28533897366
1557,119136.78196807254
1558,95586.24701214107
1559,82652.02780852171
1560,145888.60558144876
1561,124856.95017997986
1562,132919.1114071257
1563,121441.1899744349
1564,169586.11985911214
1565,160191.67434422573
1566,237311.4579352587
1567,84041.5566196021
1568,231333.7060865775
1569,141615.5514963437
1570,135795.70141047848
1571,126372.61294268345
1572,141212.46744862822
1573,228728.18730583735
1574,123916.1087984475
1575,235996.9266871906
1576,246050.77578271745
1577,178616.79939333536
1578,131692.0888333433
1579,157896.05062190618
1580,192144.2999594179
1581,160549.33418991824
1582,119200.74677506936
1583,292632.49652156024
1584,221723.03351572785
1585,135178.44788985612
1586,65720.41376916881
1587,100415.80376072584
1588,138527.3451832782
1589,104780.68488001879
1590,121773.70353734074
1591,99650.89266369949
1592,116802.14693638813
1593,118610.32287240512
1594,126719.09285230692
1595,114967.93800003335
1596,223212.64849456196
1597,193510.279184867
1598,228804.52409736364
1599,163718.83919676862
1600,167853.6022750308
1601,69453.96411887457
1602,107912.86782317341
1603,77315.38677388901
1604,274280.4117817278
1605,239022.01972609307
1606,171615.6651406454
1607,164633.67132942594
1608,225059.4824061459
1609,181901.2527955643
1610,153554.3404015872
1611,147095.64172882316
1612,180564.02674707468
1613,172314.15040390287
1614,113806.79650751439
1615,94638.08997851025
1616,85378.31658170288
1617,93360.32946710836
1618,130529.44869274757
1619,145031.64968816258
1620,161607.02051190546
1621,140744.6588959313
1622,141871.19164028537
1623,248007.79897954364
1624,216041.15645100604
1625,110463.65523845502
1626,170544.78814889153
1627,189613.39300933987
1628,262101.4172084561
1629,186056.19662681498
1630,359722.4877942016
1631,227133.2684963398
1632,254405.1413467794
1633,174222.6183452917
1634,184268.72763019527
1635,177674.51856522966
1636,151218.47296370217
1637,206050.5758368313
1638,191480.43879036838
1639,174696.96655116376
1640,257750.23831789903
1641,180788.4699033305
1642,250750.7730194673
1643,217317.62749629
1644,238172.97336972394
1645,208597.1199022386
1646,147826.52495746082
